"","file_number","tp","fn","fp","tn","recall","precision","f1Score"
"1",1,2,0,6,1412,1,0.25,0.4
"2",2,14,2,11,1412,0.875,0.56,0.682926829268293
"3",3,7,8,0,1446,0.466666666666667,1,0.636363636363636
"4",4,5,0,21,1397,1,0.192307692307692,0.32258064516129
"5",5,2,0,3,1434,1,0.4,0.571428571428572
"6",6,7,1,2,1429,0.875,0.777777777777778,0.823529411764706
"7",7,10,51,146,1216,0.163934426229508,0.0641025641025641,0.0921658986175115
"8",8,10,0,45,1365,1,0.181818181818182,0.307692307692308
"9",9,3,5,1,1452,0.375,0.75,0.5
"10",10,0,13,1,1425,0,0,NA
"11",11,11,8,5,1415,0.578947368421053,0.6875,0.628571428571429
"12",12,3,0,0,1436,1,1,1
"13",13,5,7,0,1427,0.416666666666667,1,0.588235294117647
"14",14,2,0,6,1431,1,0.25,0.4
"15",15,5,5,0,1429,0.5,1,0.666666666666667
"16",16,3,0,0,1458,1,1,1
"17",17,59,168,0,1197,0.259911894273128,1,0.412587412587413
"18",18,0,3,0,1458,0,NA,NA
"19",19,107,120,42,1155,0.47136563876652,0.718120805369127,0.569148936170213
"20",20,7,26,39,1350,0.212121212121212,0.152173913043478,0.177215189873418
"21",21,6,0,0,1414,1,1,1
"22",22,53,10,23,1334,0.841269841269841,0.697368421052632,0.762589928057554
"23",23,19,0,11,1390,1,0.633333333333333,0.775510204081633
"24",24,2,14,0,1445,0.125,1,0.222222222222222
"25",25,23,20,7,1385,0.534883720930233,0.766666666666667,0.63013698630137
"26",26,0,75,18,1342,0,0,NA
"27",27,0,2,0,1425,0,NA,NA
"28",28,0,82,0,1359,0,NA,NA
"29",29,0,7,2,1432,0,0,NA
"30",30,0,9,0,1452,0,NA,NA
"31",31,8,16,56,1347,0.333333333333333,0.125,0.181818181818182
"32",32,1,46,0,1380,0.0212765957446809,1,0.0416666666666667
"33",33,2,0,1,1436,1,0.666666666666667,0.8
"34",34,0,7,0,1420,0,NA,NA
"35",35,0,0,0,1427,NA,NA,NA
"36",36,5,0,0,1456,1,1,1
"37",37,11,23,708,692,0.323529411764706,0.0152990264255911,0.0292164674634794
"38",38,0,9,0,1418,0,NA,NA
"39",39,2,8,0,1417,0.2,1,0.333333333333333
"40",40,0,80,0,1347,0,NA,NA
"41",41,3,0,45,1387,1,0.0625,0.117647058823529
"42",42,29,15,23,1373,0.659090909090909,0.557692307692308,0.604166666666667
"43",43,8,24,1,1407,0.25,0.888888888888889,0.390243902439024
"44",44,0,9,0,1452,0,NA,NA
"45",45,1,0,199,1240,1,0.005,0.00995024875621891
"46",46,0,109,0,1332,0,NA,NA
"47",47,0,10,0,1417,0,NA,NA
"48",48,0,24,111,1304,0,0,NA
"49",49,0,3,0,1458,0,NA,NA
"50",50,1,6,0,1432,0.142857142857143,1,0.25
"51",51,0,4,0,1423,0,NA,NA
"52",52,2,9,2,1419,0.181818181818182,0.5,0.266666666666667
"53",53,2,15,0,1444,0.117647058823529,1,0.210526315789474
"54",54,0,4,0,737,0,NA,NA
"55",55,0,5,0,1422,0,NA,NA
"56",56,0,5,0,1422,0,NA,NA
"57",57,0,3,12,1426,0,0,NA
"58",58,27,16,0,1392,0.627906976744186,1,0.771428571428571
"59",59,0,0,133,1290,NA,0,NA
"60",60,12,4,5,1440,0.75,0.705882352941177,0.727272727272727
"61",61,1,23,78,1339,0.0416666666666667,0.0126582278481013,0.0194174757281553
"62",62,7,0,27,707,1,0.205882352941176,0.341463414634146
"63",63,4,4,2,1429,0.5,0.666666666666667,0.571428571428572
"64",64,0,0,6,1435,NA,0,NA
"65",65,7,10,40,1367,0.411764705882353,0.148936170212766,0.21875
"66",66,21,0,43,1360,1,0.328125,0.494117647058824
"67",67,16,7,9,1391,0.695652173913043,0.64,0.666666666666667
